Column1,Date,Startup,Industry,Location,Investor,Type,Amount
0,01-04-2021,BYJU'S,Education,Bangalore,Innoven Capital,Series F,460000000
1,05-04-2021,Meesho,E-Commerce,Bangalore,SoftBank Vision Fund 2,Series E,300000000
2,14-04-2021,Swiggy,Consumables,Bangalore,"Amansa Holdings, Carmignac, Falcon Edge Capital, Goldman Sachs, Think Investments",Series J,343000000
3,07-04-2021,Groww,Finance,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series D,83000000
4,14-04-2021,Beldara,E-Commerce,Mumbai,Hindustan Media Ventures,Unknown,7400000
5,04-03-2021,DealShare,E-Commerce,Jaipur,Innoven Capital,Debt,250000000
6,31-03-2021,Uniphore,Software,Outside India,Sorenson Capital Partners,Series D,140000000
7,30-03-2021,Dunzo,E-Commerce,Bangalore,Krishtal Advisors Pte Ltd,Series E,8000000
8,30-03-2021,BYJU'S,Education,Bangalore,"MC Global Edtech, B Capital, Baron, others",Series F,460000000
9,23-03-2021,SkilloVilla,Education,Bangalore,"Titan Capital, others",Seed,300000000
10,25-03-2021,CityMall,E-Commerce,Gurgaon,Accel Partners,Series A,11000000
11,26-03-2021,DotPe,Finance,Gurgaon,PayU,Series A,27500000
12,11-02-2021,Doubtnut,Education,Gurgaon,"SIG Global, Sequoia Capital, WaterBridge Ventures and ON Mauritius",Series B,2500000
13,22-02-2021,Zomato,Healthcare & Hospitality,Gurgaon,"Tiger Global, Kora",Unknown,250000000
14,19-02-2021,Fingerlix,Healthcare & Hospitality,Mumbai,"Rhodium Trust, Accel Partners and Swiggy",Series C,2747045.2
15,17-02-2021,Zolve,Finance,Mumbai,Accel Partners and Lightspeed Venture Partners,Seed,15000000
16,15-02-2021,KreditBee,Finance,Bangalore,Azim Premji’s PremjiInvest and South Korea’s Mirae Asset Venture,Series C,75000000
17,12-02-2021,Pepperfry,E-Commerce,Mumbai,InnoVen Capital,Debt,4773958
18,12-02-2021,Grofers,E-Commerce,Gurgaon,SoftBank Vision Fund (SVF),Unknown,55000000
19,09-02-2021,Nothing,Software,Outside India,GV,Series A,15000000
20,09-02-2021,SplashLearn,Education,Gurgaon,Owl Ventures,Series C,18000000
21,15-01-2021,Digit Insurance,Finance,Bangalore,"A91 Partners, Faering Capital, TVS Capital Funds",Unknown,18000000
22,28-01-2021,Bombay Shaving Company,Consumables,Delhi,Reckitt Benckiser,Unknown,6172258.5
23,19-01-2021,DeHaat,Agriculture,Patna,Prosus Ventures,Series C,30000000
24,19-01-2021,Darwinbox,Software,Mumbai,Salesforce Ventures,Seed,15000000
25,18-01-2021,mfine,Healthcare & Hospitality,Bangalore,Heritas Capital Management,Unknown,16000000
26,18-01-2021,Udayy,Education,Gurgaon,Sequoia Capital ,Seed,15000000
27,11-01-2021,True Elements,Consumables,Pune,SIDBI Venture Capital,Unknown,100000000
28,13-01-2021,Saveo,E-Commerce,Bangalore,"Matrix Partners India, RTP Global, others",Seed,4000000
29,15-12-2020,Bira 91,Consumables,Delhi,"Nishant Mittal, Pankaj Chaddah and Shikha Sunil Chandak",Unknown,1273634.07
31,15-12-2020,Zenoti,Software,Outside India,Advent International,Series D,160000000
32,22-12-2020,Tax Buddy India,Finance,Mumbai,Zenith Global,Seed,1000000
33,15-12-2020,Delhivery,Logistics,Gurgaon,Steadview Capital ,Secondary Market,25000000
34,18-12-2020,PagarBook,Software,Bangalore,Sequoia Capital ,Series A,15000000
35,30-11-2020,Codingal,Education,Bangalore,"Rebright Partners, Java Capital, and GSF Accelerator",Seed,560000
36,30-11-2020,CRED,Finance,Bangalore,DST Global,Series C,80000000
37,29-11-2020,Bira 91,Consumables,Delhi,"Sofina, Sequoia Capital, Sixth Sense Ventures, Neoplux",Bridge,3000000
38,27-11-2020,Chumbak,Lifestyle & Fashion,Bangalore,Gaja Capital Fund (GCFII-A),Series D,1001047.92
39,25-11-2020,Cityflo,Logistics,Mumbai,Lightbox Ventures,Series A,7700000
40,25-11-2020,Shipsy,Software,Gurgaon,"Sequoia Capital India’s Surge, Info Edge",Series A,6003806
41,25-11-2020,Unacademy,Education,Bangalore,"Tiger Global Management, Dragoneer Investment Group",Unknown,100000000
42,24-11-2020,Cashfree,Finance,Bangalore,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",Series B,35300000
43,30-11-2020,Credgenics,Finance,Gurgaon,"Venture Capital firm, Accel Partners and DMI Finance",Seed,3500000
44,23-11-2020,Country Delight,Consumables,Gurgaon,Elevation Capital,Series C,25000000
46,28-10-2020,Betterplace,Software,Bangalore,Jungle Ventures,Series B,10000000
47,28-10-2020,FlexiLoans,Finance,Mumbai,Falguni and Sanjay Nayar Family Office,Equity and Debt,20160000
48,27-10-2020,GetVantage,Finance,Mumbai,"Chiratae Ventures, Dream Incubators",Seed,5000000
49,27-10-2020,FreshToHome,E-Commerce,Bangalore,"Corporation of Dubai (ICD), Ascent Capital, DFC, the Allana Group
",Series C,121000000
50,27-10-2020,Origo,Agriculture,Gurgaon,Northern Arc Capital,Debt,4700000
51,27-10-2020,Origo,Marketing,Mumbai,Sequoia Capital India,Series A,15000000
52,15-10-2020,Treebo Hotels,Healthcare & Hospitality,Bangalore,"Matrix Partners India, SAIF Partners, Ward Ferry Management and Bertelsmann India",Unknown,6000000
53,26-10-2020,Hubilo,Software,Outside India,Lightspeed Venture Partners,Seed,4500000
54,28-10-2020,CredAble,Finance,Mumbai,Oaks Asset Management and V’Ocean Investment,Unknown,4500000
55,21-10-2020,Pocket FM,Software,Bangalore,"Tencent, Times Group and Lightspeed India",Series A,5500000
56,04-08-2020,InVideo,Software,Bangalore,Sequoia India,Series A,15000000
57,08-09-2020,BYJU'S,Education,Bangalore,"Silver Lake, Tiger Global, General Atlantic and Owl Ventures
",Unknown,500000000
58,12-09-2020,mCaffeine,Lifestyle & Fashion,Mumbai,"Amicus Capital Private Equity I LLP, Amicus Capital Partners India Fund I and RP-SG Venture Fund 1",Series B,3000000
59,09-09-2020,Qshala,Education,Bangalore,Rainmatter Capital,Seed,370000
60,02-09-2020,Winzo,Gaming & Entertainment,Delhi,"Kalaari Capital Partners, IndigoEdge Management Consultancy",Series B,15500000
61,09-09-2020,Hippo Video,Gaming & Entertainment,Outside India,"Alpha Wave Incubation, Exfinity Venture Partners and existing backers. 
",Series A,4500000
62,07-09-2020,Melorra,E-Commerce,Bangalore,"Shadow Holdings, Lightbox.",Debt,8900000
63,07-09-2020,1mg,E-Commerce,Gurgaon,"Gaja Capital, Tata Capital, Partners Group",Unknown,100000000
64,31-08-2020,mfine,Healthcare & Hospitality,Bangalore,Caretech Pte Inc,Series B,5400000
65,31-08-2020,Apna,Human Resources,Bangalore,Lightspeed India and Sequoia Capital India,Series A,8000000
66,03-09-2020,Railofy,Logistics,Mumbai,Chiratae Ventures,Seed,950000
68,15-08-2020,Practo,Healthcare & Hospitality,Bangalore,"A1A Company
",Series F,32000000
69,13-08-2020,Medlife,E-Commerce,Bangalore,Prasid Uno Family Trust and SC Credit Fund,Unknown,23000000
70,13-08-2020,"HungerBox
",Consumables,Bangalore,"One97, Sabre Partners Trust, Pratithi Investment Trust, and Srihari Kumar",Series D,1560000
71,04-08-2020,Dunzo,Logistics,Bangalore,Existing Backers,Unknown,30000000
72,11-08-2020,Terra.do,Education,Outside India,"Stanford Angels and Entrepreneurs (India), BEENEXT Emerging Asia, Rainmatter Capital

",Seed,1400000
73,12-08-2020,Classplus,Education,Noida,Falcon Edge,Unknown,15000000
74,14-08-2020,Niyo,Finance,Bangalore,Niyo Solutions Inc.,Unknown,6000000
75,10-08-2020,ZestMoney,Finance,Bangalore,Primrose Hills Ventures,Unknown,10670000
76,07-08-2020,FreshToHome,E-Commerce,Bangalore,Ascent Capital,Unknown,16200000
77,13-08-2020,Eduvanz,Finance,Mumbai,"Sequoia India, Unitus",Series A,5000000
79,04-08-2020,DrinkPrime,Consumables,Bangalore,"Sequoia Surge, ON Mauritius",Seed,2880000
80,15-07-2020,Flipkart,E-Commerce,Bangalore,"Walmart Inc
",Equity and Debt,1200000000
81,16-07-2020,Vedantu,Education,Bangalore,Coatue Management,Series D,100000000
82,16-07-2020,Crio,Education,Bangalore,021 Capital,Seed,934160
83,14-07-2020,goDutch,Finance,Mumbai,"Matrix India,Y Combinator, Global Founders Capital, Soma Capital, and VentureSouq.",Seed,1700000
84,13-07-2020,"Mystifly
",E-Commerce,Bangalore,"Recruit Co. Ltd.

",Series A,3300000
85,09-07-2020,JetSynthesys,Gaming & Entertainment,Pune,"Adar Poonawalla and Kris Gopalakrishnan.
",Unknown,400000
86,10-07-2020,"gigIndia
",E-Commerce,Pune,Incubate Fund India and Beyond Next Ventures,Seed,974200
87,15-07-2020,PumPumPum,Automobile,Gurgaon,Early Adapters Syndicate,Seed,292800
88,14-07-2020,FLYX,Gaming & Entertainment,Delhi,"Raj Mishra, founder of AIT Global Inc",Seed,200000
89,13-07-2020,Open Appliances Pvt. Ltd.,Software,Bangalore,Unicorn India Ventures,Unknown,500000
90,18-06-2020,Drishti Technologies,Software,Mumbai,"Sozo Ventures
",Series B,25000000
93,16-06-2020,Jai Kisan,Finance,Mumbai,Arkam Ventures and NABVENTURES Fund I,Seed,3934941
96,15-06-2020,"LetsTransport

",Logistics,Bangalore,Stride Ventures,Unknown,1311647
97,10-06-2020,WayCool Foods,Agriculture,Chennai,Indusland Bank,Series C,5500000
98,11-06-2020,Myelin Foundry,Cutting Edge Tech,Bangalore,"Kris Gopalakrishnan’s family office — Pratithi.
",Seed,1000000
99,10-06-2020,Hapramp,Cutting Edge Tech,Gurgaon,Anand Mahindra,Seed,1000000
100,21-05-2020,leap.club,Software,Gurgaon,"Whiteboard Capital (Sandeep Tandon’s VC fund), FirstCheque, Artha India Ventures, Sweta Rau (Founder, White Ventures), Amrish Rau (CEO Pinelabs, Founder Citrus Pay), Deepak Abbot (Former SVP, Paytm), and Harpreet Singh Grover (Co-founder, Co-Cubes) and others.
",Seed,340000
102,20-05-2020,"Khatabook
",Logistics,Bangalore,"B Capital Group, Sequoia India, Partners of DST Global, Tencent, GGV, RTP Global, Hummingbird Ventures, Falcon Edge Capital, Rocketship.vc, Unilever Ventures, Kevin Weil, Alexander Will, Kunal Shah, Kunal Bahl, and Rohit Bansal


",Series B,60000000
104,19-05-2020,"Lendingkart
",Finance,Ahmedabad,"Fullerton Financial Holdings Pte Ltd (FFH) and Bertelsmann India Investments, Sistema Asia Fund and India Quotient. 
",Series D,42000000
106,05-05-2020,"Classplus

",Education,Noida,"RTP Global, lume Ventures, Sequoia Capital India's Surge, Spiral Ventures, and Strive.",Series A,9000000
107,11-05-2020,Nykaa,E-Commerce,Mumbai,Steadview Capital,Series F,8800000
108,13-05-2020,Magicpin,E-Commerce,Gurgaon,"Lightspeed Venture Partners, along with the participation of Moonstone Investments, WaterBridge Venture, The Bunting Family Private Fund, and Srivatsan Rajan
",Series C,4000000
109,18-05-2020,LetsTransport,Logistics,Bangalore,InnoVen Capital,Unknown,1700000
110,09-04-2020,Vedantu,Education,Bangalore,Legend Capital,Series C,12560000
111,06-04-2020,Swiggy,Consumables,Bangalore,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, and Mirae Asset Capital Markets
",Series A,43000000
112,08-04-2020,"Zupee
",Gaming & Entertainment,Gurgaon,"Matrix Partners India, Falcon Edge Capital, WestCap Group, Orios Venture Partners and Smile Group

",Series A,8000000
113,07-04-2020,DeHaat,Agriculture,Patna,"Sequoia Capital India, FMO, Omnivore and AgFunder.",Series A,12000000
114,15-04-2020,"BigBasket
",E-Commerce,Bangalore,Alibaba Group,Debt,50000000
115,08-04-2020,Fingerlix,Consumables,Mumbai,"Accel, Zephyr Peacock, Swiggy, and RB Investments
",Series C,1800000
116,31-03-2020,"Nykaa

",E-Commerce,Mumbai, Steadview Capital,Series F,13000000
117,02-04-2020,Recko,Finance,Bangalore,Vertex Ventures Southeast Asia and India and Prime Venture Partners,Series A,6000000
119,02-03-2020,Chqbook.com,Finance,Gurgaon,Aavishkaar Capital,Series A,5000000
120,06-03-2020,"Paperboat
",E-Commerce,Bangalore,"Advent Management, A91 Emerging Fund, and Trifecta Venture.

",Debt,4000000
122,12-03-2020,"FamPay
",Finance,Bangalore,"Y Combinator, Venture Highway, Sequoia India, and GFC (Global Founders Capital). ",Seed,4700000
123,12-03-2020,MultiLiving,Real Estate,Mumbai,Lodha Ventures,Series A,6000000
124,12-03-2020,"Ola Electric
",Logistics,Bangalore,Pawan Munjal Family Trust,Series B,1000000
126,03-02-2020,1mg,E-Commerce,Gurgaon,Bill & Melinda Gates Foundation ,Unknown,10000000
128,31-01-2020,"Adonmo
",Marketing,Hyderabad,BAce Capital,Seed,3000000
129,31-01-2020,DoubtNut,Education,Gurgaon,Tencent Holdings,Series A,15000000
131,03-02-2020,Embibe,Education,Mumbai,Reliance Industries Limited (RIL),Unknown,12625020
132,10-02-2020,"FirstCry
",E-Commerce,Pune,Softbank Vision Fund,Series E,296000000
133,10-02-2020,Pepperfry,E-Commerce,Mumbai,Pidilite Industries,Series F,37000000
134,18-02-2020,MaxWholesale,E-Commerce,Delhi,IAN Fund and Al Falaj Investment Co,Series A,3000000
135,06-02-2020,Dot,Software,Gurgaon,PayU and Fosun RZ Capital,Seed,8000000
137,05-02-2020,WizKlub,Education,Bangalore,Incubate Fund India and Insitor Impact Asia Fund,Seed,1000000
139,14-02-2020,Simsim,E-Commerce,Delhi,Accel Partners,Series B,8000000
140,11-02-2020,Moengage,Marketing,Bangalore,Eight Roads Ventures,Series C,25000000
141,11-02-2020,Chaayos,Consumables,Delhi,"Think Investment, Tiger Global, SAIF Partners, Integrated Capital and Neeraj Arora and Innoven Capital

",Series B,21500000
142,19-02-2020,Unacademy,Education,Bangalore,"General Atlantic, Sequoia Capital India, and Facebook",Series D,110000000
143,09-01-2020,BYJU'S,Education,Bangalore,Tiger Global Management,Unknown,200000000
144,13-01-2020,Shuttl,Logistics,Gurgaon,Susquehanna Growth Equity,Series C,8048394
145,09-01-2020,Mamaearth,E-Commerce,Bangalore,Sequoia Capital India,Series B,18358860
146,02-01-2020,https://www.wealthbucket.in/,Finance,Delhi,Vinod Khatumal,Seed,3000000
147,02-01-2020,Fashor,Lifestyle & Fashion,Mumbai,Sprout Venture Partners,Seed,1800000
148,13-01-2020,Pando,Logistics,Chennai,Chiratae Ventures,Series A,9000000
149,10-01-2020,Zomato,Healthcare & Hospitality,Gurgaon,Ant Financial,Unknown,150000000
150,12-12-2019,Ecozen,Software,Pune,Sathguru Catalyzer Advisors,Series A,6000000
151,06-12-2019,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,70000000
152,03-12-2019,Dhruva Space,Aerospace,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,50000000
153,13-12-2019,Rivigo,Software,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000
154,17-12-2019,Healthians,Consumables,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000
155,16-12-2019,Licious,E-Commerce,Bangalore,Vertex Growth Fund,Series E,30000000
156,16-12-2019,InCred,Finance,Mumbai,Secret,Debt,5900000
157,14-12-2019,Trell,Gaming & Entertainment,Bangalore,Ruizheng Investment,Seed,2000000
158,11-12-2019,Rein Games,Gaming & Entertainment,Noida,Manipal Education and Medical Group (MEMG),Seed,50000000
159,20-12-2019,Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,231000000
160,13-11-2019,Freshworks,Software,Outside India,"Sequoia, CapitalG, Accel",Series H,150000000
161,14-11-2019,Misters,Healthcare & Hospitality,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000
162,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,1500000
164,18-11-2019,Healthians,Healthcare & Hospitality,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000
165,15-11-2019,Ninjacart,Marketing,Bangalore,Trifecta Capital Advisors,Debt,26000000
166,20-11-2019,Aye Finance ,Finance,Gurgaon,FinTech,Debt,17411265
167,12-11-2019,SuperGaming ,Gaming & Entertainment,Pune,Dream Incubator,Seed,1300000
168,20-11-2019,Clumio,Software,Outside India,"Altimeter Capital, Sutter Hill Ventures",Series C,135000000
169,11-11-2019,eBikeGo,Logistics,Amritsar,Startup Buddy,Seed,300000
170,19-11-2019,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed,220000000
171,18-11-2019,Medikabazaar,Healthcare & Hospitality,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000
172,15-11-2019,Vogo Automotive,Logistics,Bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000
173,19-11-2019,Furtados School of Music,Education,Outside India, IAN Fund and DSG Consumer Partners,Unknown,200000000
174,25-11-2019,Paytm,Finance,Noida,Vijay Shekhar Sharma,Unknown,1000000000
175,04-10-2019,Dunzo,Marketing,Bangalore,Lightbox,Series D,45000000
176,02-10-2019,Udaan,Logistics,Bangalore,"Altimeter Capital, DST Global",Series D,585000000
178,05-09-2019,FPL Technologies,Finance,Pune,"Matrix Partners India, Sequoia India",Seed,4500000
179,04-09-2019,Cashflo,Finance,Mumbai,SAIF Partners,Series A,3300000
180,04-09-2019,Digital F5,Marketing,Mumbai,TIW Private Equity,Unknown,6000000
181,04-09-2019,3rdFlix,Software,Hyderabad,Exfinity Venture Partners,Seed,5000000
182,04-09-2019,75F,Cutting Edge Tech,Outside India,Breakthrough Energy Ventures,Series A,18000000
183,04-09-2019,Myelin Foundry,Software,Bangalore,Endiya Partners,Seed,1000000
184,04-09-2019,Atomberg Technology,Software,Mumbai,A91 Partners,Series A,10000000
185,04-09-2019,GOQii,Healthcare & Hospitality,Outside India,Bennett Coleman and Company Ltd (BCCL),Series C,450000000
186,03-09-2019,Vyapar App,Finance,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000
188,01-08-2019,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000
189,01-08-2019,Progcap,Finance,Delhi,Sequoia India,Series A,5000000
190,01-08-2019,MyPetrolPump,Retail,Bangalore,Secret,Seed,1600000
191,01-08-2019,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Unknown,140000000
192,01-08-2019,Pine Labs,Software,Noida,Pine Labs Pte Ltd,Unknown,38080000
193,12-08-2019,Meesho,E-Commerce,Bangalore,Naspers,Series D,125000000
194,13-08-2019,Cars24,E-Commerce,Gurgaon,MS Dhoni,Series D,11000000
195,13-08-2019,Uniphore,Software,Outside India,March Capital Partners,Series C,51000000
196,23-08-2019,Zendrive,Automobile,Outside India,XL Innovate,Series B,37000000
197,23-08-2019,Lo! Foods,Consumables,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed,500000
198,23-08-2019,Tala,Finance,Outside India,RPS Ventures,Series D,110000000
199,22-08-2019,INDwealth,Finance,Gurgaon,Tiger Global Management,Unknown,15000000
200,21-08-2019,HungerBox,Consumables,Bangalore,One97 Communications Ltd.,Series C,6590000
201,23-08-2019,AdmitKard,Education,Noida,Growth DNA,Seed,1000000
203,19-08-2019,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,70000000
204,27-08-2019,Rapido Bike Taxi,Logistics,Bangalore,Westbridge Capital,Series B,3900000000
205,02-07-2019,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000
206,02-07-2019,Atlan,Software,Outside India,WaterBridge Ventures,Seed,2500000
207,01-07-2019,WizCounsel,Compliance,Delhi,Kapil Dev,Seed,145000
208,03-07-2019,Ola Cabs,Logistics,Bangalore,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000
209,01-07-2019,Uniphore,Cutting Edge Tech,Outside India,March Capital Partners,Series C,38080000
210,04-07-2019,Daalchini Technologies,Consumables,Delhi,Artha Venture,Seed,500000
211,10-07-2019,BYJU'S,Education,Bangalore,Qatar Investment Authority,Unknown,150000000
212,11-07-2019,Moglix,E-Commerce,Outside India,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000
213,10-07-2019,Ezyhaul,Cutting Edge Tech,Outside India,Undisclosed,Series B,16000000
214,10-07-2019,Indus OS,Cutting Edge Tech,Mumbai,Ventureast,Series B,5750000
215,10-07-2019,HealthAssure,Healthcare & Hospitality,Mumbai,Blume Ventures,Series A,2500000
216,09-07-2019,House of Msasaba,Lifestyle & Fashion,Mumbai,Binny Bansal,Series A,1000000
217,08-07-2019,Board Infinity,Education,Mumbai,Multiple Angel Investors,Seed,319605
218,05-06-2019,NoBroker,E-Commerce,Bangalore,General Atlantic,Series C,51000000
219,04-06-2019,Bira91,Consumables,Delhi,Anicut Capital,Debt,10000000
220,03-06-2019,FabHotels,E-Commerce,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,4889975.54
221,03-06-2019,Avail Finance,Finance,Bangalore,Matrix Partners,Series A,9000000
222,04-06-2019,BharatPe,Finance,Delhi,Insight Partners,Series B,75000000
223,04-06-2019,Recykal,Energy & Waste Management,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh ",Seed,26000000
224,03-06-2019,Agara Labs,Cutting Edge Tech,Bangalore,Blume Ventures and RTP Global,Seed,2500000
225,06-06-2019,Sistema.bio,Agriculture,Outside India,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,2739034.68
226,06-06-2019,Chakr Innovation,Energy & Waste Management,Delhi,IAN Fund,Series A,26000000
227,06-06-2019,Pratilipi,Gaming & Entertainment,Bangalore,Qiming Venture Partners ,Series B,15109500
228,10-06-2019,Bolo App,Gaming & Entertainment,Bangalore,Nexus Venture Partners,Seed,430200
229,10-06-2019,OkCredit,Finance,Haryana,Tiger Global Management,Series A,15500000
230,06-06-2019,Biz2Credit,Finance,Outside India,WestBridge Capital,Series B,52000000
231,08-06-2019,Vogo Automotive Pvt. Ltd.,Logistics,Bangalore,Alteria Capital,Debt,3584000
232,04-06-2019,Leegality,Software,Bangalore,Mumbai Angels,Series A,3400000
234,06-05-2019,Saahas Zero Waste ,Energy & Waste Management,Bangalore,C4D Partners,Unknown,868600
236,01-05-2019,BlackBuck ,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000
237,02-05-2019,Zenoti ,Software,Hyderabad,Tiger Global Management,Series C,50000000
238,28-05-2019,Ather Energy,Automobile,Bangalore,Sachin Bansal,Series C,51000000
239,28-05-2019,FreshVnF,Agriculture,Mumbai,Equanimity Ventures,Seed,140000000
240,30-05-2019,GlowRoad,E-Commerce,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000
241,31-05-2019,Bira91,Consumables,Delhi,Sixth Sense Ventures,Series B,5600000
243,12-04-2019,Medlife,E-Commerce,Bangalore,Prasid Uno Family Trust,Unknown,17000000
244,10-04-2019,Kabadiwala,E-Commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport, ",Unknown,430665
245,13-04-2019,Tripoto,Gaming & Entertainment,Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375
246,12-04-2019,Azah,Healthcare & Hospitality,Gurgaon,Unnamed angel investors,Seed,200000
247,11-04-2019,Setu,Finance,Bangalore,Lightspeed India Partners,Seed,3500000
248,10-04-2019,Toppr,Education,Mumbai,Milestone ,Debt,6320820
249,10-04-2019,Craftsvilla,E-Commerce,Mumbai,Supera Pte Ltd,Debt,2443495
250,10-04-2019,Unacademy,Education,Bangalore,Kalyan Krishnamurthy,Seed,307000
251,11-04-2019,CleverTap,Software,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000
252,19-04-2019,My Healthcare,E-Commerce,Bangalore,Sixth Sense Ventures,Series A,3000000
253,19-04-2019,KrazyBee,E-Commerce,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000
254,17-04-2019,Shuttl,Logistics,Gurgaon,New Atlantic Ventures,Unknown,5000000
255,17-04-2019,Increff,Software,Bangalore,"021 Capita, Binny Bansal",Series A,3000000
257,08-02-2019,Zilingo,E-Commerce,Outside India,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000
258,13-02-2019,NanoClean Global,Cutting Edge Tech,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000
259,14-02-2018,OyoRooms,Healthcare & Hospitality,Gurgaon,DiDi Chuxing,Unknown,100000000
261,04-01-2019,Vyome Therapeutics Inc. ,Healthcare & Hospitality,Outside India,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000
262,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Chennai,"MASSIF, a Dutch government fund",Debt,5000000
263,04-12-2018,Manch,Gaming & Entertainment,Delhi, Stellaris Venture Partners ,Seed,700000
265,02-12-2018, Guiddoo ,Logistics,Mumbai,Individual Investors,Seed,800000
266,02-12-2018,Career Anna ,Education,Gurgaon,Individual Investors,Seed,572000
267,04-12-2018,Nagpur Wholesale,E-Commerce,Nagpur,Omphalos Ventures India LLP,Seed,143000
268,06-12-2018,ShopKirana,Logistics,Indore," Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed,2000000
269,06-12-2018,BuildSupply,E-Commerce,Gurgaon,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000
271,03-11-2018,Veritas Finance Ltd.,Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK’s Development Finance Institution and P Surendra Pai",Series D,27799000
272,06-11-2018,Meesho,E-Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000
273,08-11-2018,Mobile Premier League,Gaming & Entertainment,Bangalore,Undisclosed,Series A,500000
274,08-11-2018,A&R Bon Vivants,Consumables,Jaipur,"RB Investments, Singapore",Unknown,1000000
275,12-11-2018,Blackbuck,Consumables,Bangalore,Tiger Global,Series A,1000000
276,12-11-2018,MilkBAsket,Consumables,Delhi,Mayfield Fund,Series B,1300000
277,13-11-2018,DriveU,Logistics,Bangalore,Stevens Creek Ventures,Equity and Debt,1000000
278,14-11-2018,CleanseCar,Software,Bangalore,Venture Catalysts,Seed,500000
279,19-11-2018,Automation Anywhere,Cutting Edge Tech,Outside India,SoftBank Vision Fund,Series B,300000000
280,20-11-2018,HealthifyMe,Healthcare & Hospitality,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,6000000
281,21-11-2018,Genius Corner,Education,Noida,Individual investors ,Seed,278000
282,22-11-2018,Aavishkaar-Intellecap Group,Finance,Mumbai,Teachers Insurance and Annuity Association (TIAA),Unknown,31000000
284,23-11-2018,Signzy,Finance,Bangalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000
285,24-11-2018,Engineer.ai ,Software,Outside India,"Lakestar and Jungle Ventures, Softbank’s DeepCore.",Series A,29500000
286,25-11-2018, InCred Finance,Finance,Bangalore,"Paragon Partners, Individual Investors",Unknown,42000000
